Participant ID,Experience Level,Order,Task,Condition,Pair 1,Pair 2,score,alt_group_score,pos_diff_score,rel_dist_diff_score,size_diff_score
6,N,2,social,baseline,Alternative 3,Alternative 1,1.22808843,0.083333333,0.543604412,0.099823557,0.401503572
6,N,2,social,baseline,Alternative 3,Alternative 2,1.186174153,0.083333333,0.455252147,0.177284496,0.293019679
6,N,2,social,baseline,Alternative 3,Original,1.307711394,0.083333333,0.587214876,0.104310242,0.428542702
6,N,2,social,baseline,Alternative 1,Alternative 2,0.893586965,0.083333333,0.340378312,0.146509557,0.176856207
6,N,2,social,baseline,Alternative 1,Original,0.71734406,0,0.325184855,0.104623325,0.182912555
6,N,2,social,baseline,Alternative 2,Original,0.776405745,0.083333333,0.215722121,0.152598907,0.172152476
15,P,2,social,baseline,Alternative 3,Alternative 1,0.525712211,0,0.161223841,0.13815065,0.08818707
15,P,2,social,baseline,Alternative 3,Alternative 2,0.487815661,0,0.143086277,0.13815065,0.068428084
15,P,2,social,baseline,Alternative 3,Original,0.853304057,0,0.331205588,0.157230246,0.207637977
15,P,2,social,baseline,Alternative 1,Alternative 2,0.194181153,0,0.099923716,0,0.094257437
15,P,2,social,baseline,Alternative 1,Original,0.556846857,0,0.232122733,0.082530246,0.159663632
15,P,2,social,baseline,Alternative 2,Original,0.628781346,0,0.265603671,0.082530246,0.198117183
11,P,1,social,scout,Alternative 3,Alternative 1,0.709834266,0,0.317641225,0.072698367,0.246796307
11,P,1,social,scout,Alternative 3,Alternative 2,1.174701531,0,0.619180207,0.122004943,0.311511438
11,P,1,social,scout,Alternative 3,Original,0.537723106,0,0.177726996,0.114063455,0.131869199
11,P,1,social,scout,Alternative 1,Alternative 2,1.485372734,0.090909091,0.562330429,0.31028715,0.211558914
11,P,1,social,scout,Alternative 1,Original,0.798177362,0.090909091,0.281193737,0.104145649,0.217783236
11,P,1,social,scout,Alternative 2,Original,1.52275509,0.083333333,0.498229484,0.296275944,0.348640385
9,N,2,social,scout,Alternative 3,Alternative 1,0.62826538,0.083333333,0.151343881,0.14445751,0.104673146
9,N,2,social,scout,Alternative 3,Alternative 2,1.05940385,0.083333333,0.247733988,0.276132971,0.176070588
9,N,2,social,scout,Alternative 3,Original,0.655781918,0.083333333,0.119325306,0.176813247,0.099496786
9,N,2,social,scout,Alternative 1,Alternative 2,1.18530271,0,0.378142649,0.299452583,0.208254895
9,N,2,social,scout,Alternative 1,Original,0.676716867,0,0.184964067,0.175789047,0.140174707
9,N,2,social,scout,Alternative 2,Original,1.062860502,0,0.288324176,0.281699497,0.211137333
3,N,2,social,scout,Alternative 3,Alternative 1,0.531816925,0.083333333,0.209782112,0.070710821,0.097279838
3,N,2,social,scout,Alternative 3,Alternative 2,0.39393134,0,0.174202449,0.042074751,0.135579389
3,N,2,social,scout,Alternative 3,Original,0.553058549,0,0.201260329,0.099630923,0.152536375
